"StockCode","sciname","Loo","TLinfinity","K","SE_K","SD_K","LCL_K","UCL_K","Temperature","DeltaT"
5846,"Chlorurus sordidus",31,31,1.1,NA,NA,NA,NA,27,NA
5846,"Chlorurus sordidus",15.8,NA,1.215,NA,NA,NA,NA,NA,NA
5846,"Chlorurus sordidus",19.3,NA,1.083,NA,NA,NA,NA,NA,NA
5846,"Chlorurus sordidus",22.9,NA,0.493,NA,NA,NA,NA,NA,NA
5846,"Chlorurus sordidus",39.1,NA,0.15,NA,NA,NA,NA,NA,NA
57180,"Chlorurus spilurus",19.3,NA,1.083,NA,NA,NA,NA,NA,NA
8217,"Hipposcarus harid",44.6,NA,0.17,NA,NA,NA,NA,NA,NA
5829,"Hipposcarus longiceps",43.9,43.9,0.5,NA,NA,NA,NA,28,NA
5829,"Hipposcarus longiceps",35,NA,0.278,NA,NA,NA,NA,NA,NA
4555,"Leptoscarus vaigiensis",33.7,33.7,2.3,NA,NA,NA,NA,27.2,NA
5830,"Scarus altipinnis",37.7,42.8,0.253,NA,NA,NA,NA,26,NA
5833,"Scarus chameleon",23.1,NA,0.716,NA,NA,NA,NA,26,NA
1169,"Scarus coeruleus",61.5,NA,0.325,NA,NA,NA,NA,28.2,NA
14191,"Scarus ferrugineus",61.4,NA,0.1,NA,NA,NA,NA,NA,NA
5836,"Scarus frenatus",25.9,29.4224,0.448,NA,NA,NA,NA,25.8,NA
5836,"Scarus frenatus",19.2,21.8,1.53,NA,NA,NA,NA,26,NA
5836,"Scarus frenatus",20.4,23.1744,1.49,NA,NA,NA,NA,26,NA
5836,"Scarus frenatus",20.9,23.7,1.35,NA,NA,NA,NA,26,NA
5836,"Scarus frenatus",25.8,29.3,0.91,NA,NA,NA,NA,26,NA
5836,"Scarus frenatus",26.3,29.9,0.73,NA,NA,NA,NA,26,NA
5836,"Scarus frenatus",27.1,30.8,0.81,NA,NA,NA,NA,26,NA
5836,"Scarus frenatus",19.5,NA,1.251,NA,NA,NA,NA,NA,NA
5836,"Scarus frenatus",23.2,NA,0.844,NA,NA,NA,NA,NA,NA
5838,"Scarus ghobban",27.5,30.05576,0.473,NA,NA,NA,NA,27,NA
5838,"Scarus ghobban",27.4,27.4,0.56,NA,NA,NA,NA,27,NA
1171,"Scarus guacamaia",80,NA,0.293,NA,NA,NA,NA,28.2,NA
1170,"Scarus iseri",11.7,NA,1.235,NA,NA,NA,NA,NA,NA
5840,"Scarus niger",25.4,33.25091,0.367,NA,NA,NA,NA,25.8,NA
5840,"Scarus niger",17.7,21.46866,0.93,NA,NA,NA,NA,25.8,NA
5840,"Scarus niger",23.8,28.86746,0.72,NA,NA,NA,NA,25.8,NA
5840,"Scarus niger",17.6,NA,0.989,NA,NA,NA,NA,NA,NA
5840,"Scarus niger",23.8,NA,0.736,NA,NA,NA,NA,NA,NA
5843,"Scarus psittacus",21.5,25.8,0.347,NA,NA,NA,NA,25.8,NA
5843,"Scarus psittacus",30,30,0.69,NA,NA,NA,NA,27,NA
5843,"Scarus psittacus",17.2,NA,1.19,NA,NA,NA,NA,NA,NA
5843,"Scarus psittacus",17.5,NA,1.505,NA,NA,NA,NA,NA,NA
5202,"Scarus rivulatus",30.9,NA,0.22,NA,NA,NA,NA,NA,NA
5845,"Scarus rubroviolaceus",29,31.88368,0.589,NA,NA,NA,NA,27,NA
8224,"Scarus scaber",26,26,0.83,NA,NA,NA,NA,27,NA
5208,"Scarus schlegeli",28.8,33.10345,0.224,NA,NA,NA,NA,25.8,NA
5208,"Scarus schlegeli",23.9,NA,0.403,NA,NA,NA,NA,NA,NA
1173,"Scarus vetula",53.4,55.05155,0.599,NA,NA,NA,NA,28.2,NA
3871,"Sparisoma atomarium",10.1,NA,1.828,NA,NA,NA,NA,NA,NA
1174,"Sparisoma aurofrenatum",26,26,0.2,NA,NA,NA,NA,27.2,NA
1174,"Sparisoma aurofrenatum",17.8,NA,0.669,NA,NA,NA,NA,NA,NA
1175,"Sparisoma chrysopterum",41.8,NA,0.782,NA,NA,NA,NA,28.2,NA
1175,"Sparisoma chrysopterum",25.8,NA,0.627,NA,NA,NA,NA,NA,NA
13347,"Sparisoma cretense",38.9,38.9,0.16,NA,NA,NA,NA,19,NA
13347,"Sparisoma cretense",35.1,35.1,0.298,NA,NA,NA,NA,NA,NA
1176,"Sparisoma rubripinne",46.5,50.54348,0.584,NA,NA,NA,NA,28.2,NA
1176,"Sparisoma rubripinne",23.5,NA,0.811,NA,NA,NA,NA,NA,NA
17911,"Sparisoma strigatum",25.2,NA,0.993,NA,NA,NA,NA,NA,NA
1177,"Sparisoma viride",29,32.40223,0.963,NA,NA,NA,NA,28,1.9
1177,"Sparisoma viride",26.4,32.6,0.82,NA,NA,NA,NA,28.1,NA
1177,"Sparisoma viride",27.5,33.95062,0.71,NA,NA,NA,NA,27.6,NA
1177,"Sparisoma viride",28.1,34.7,0.6,NA,NA,NA,NA,27.2,NA
1177,"Sparisoma viride",35.7,44.1,0.45,NA,NA,NA,NA,26.7,NA
1177,"Sparisoma viride",28,NA,0.559,NA,NA,NA,NA,NA,NA
1177,"Sparisoma viride",35.7,NA,0.458,NA,NA,NA,NA,NA,NA
4919,"Scatophagus argus",25,25,1.2,NA,NA,NA,NA,28.2,NA
9694,"Parailia pellucida",11.03,NA,0.63,NA,NA,NA,NA,27.7,NA
13604,"Proeutropiichthys taakree",47.1,47.1,0.27,NA,NA,NA,NA,NA,NA
13244,"Schilbe intermedius",33.6,33.6,0.106,NA,NA,NA,NA,NA,NA
13244,"Schilbe intermedius",27.5,27.5,0.29,NA,NA,NA,NA,29,NA
13244,"Schilbe intermedius",45.5,45.5,0.04,NA,NA,NA,NA,NA,NA
13244,"Schilbe intermedius",26,NA,0.7,NA,NA,NA,NA,NA,NA
2640,"Schilbe mandibularis",29,NA,0.46,NA,NA,NA,NA,28,NA
2641,"Schilbe mystus",28.1,31.22222,0.935,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",28.2,31.33333,2.718,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",42.4,42.4,0.095,NA,NA,NA,NA,20,NA
2641,"Schilbe mystus",29,29,3.071,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",41.3,41.3,0.208,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",21.7,21.7,0.176,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",44.6,44.6,0.507,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",15,15,1.29,NA,NA,NA,NA,23.5,NA
2641,"Schilbe mystus",33.9,33.9,0.347,NA,NA,NA,NA,NA,NA
2641,"Schilbe mystus",52.6,52.6,0.054,NA,NA,NA,NA,NA,NA
9697,"Schilbe uranoscopus",34.4,NA,1.3,NA,NA,NA,NA,27,NA
9697,"Schilbe uranoscopus",24.2,NA,1.3,NA,NA,NA,NA,27,NA
15510,"Argyrosomus inodorus",112,112,0.094,NA,NA,NA,NA,15,NA
15510,"Argyrosomus inodorus",116,116,0.12,NA,NA,NA,NA,15,NA
15510,"Argyrosomus inodorus",103,NA,0.136,NA,NA,NA,NA,NA,NA
12305,"Argyrosomus japonicus",172,172,0.03,NA,NA,NA,NA,15,NA
12305,"Argyrosomus japonicus",143,NA,0.241,NA,NA,NA,NA,NA,NA
432,"Argyrosomus regius",70,70,0.195,NA,NA,NA,NA,14,NA
432,"Argyrosomus regius",210,210,0.089,NA,NA,NA,NA,17.5,NA
432,"Argyrosomus regius",171.89999,NA,0.15,0.008,NA,NA,NA,NA,NA
434,"Atractoscion aequidens",112,118.64429,0.27,NA,NA,NA,NA,18,NA
3774,"Atractoscion nobilis",146,146,0.128,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",45,45,0.225,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",40.1,40.1,0.238,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",37.1,37.1,0.354,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",37.1,37.1,0.523,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",46.9,46.9,0.297,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",50.9,50.9,0.227,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",57.3,57.3,0.177,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",58.5,58.5,0.116,NA,NA,NA,NA,22,NA
957,"Atrobucca nibe",58.7,58.7,0.145,NA,NA,NA,NA,20,NA
957,"Atrobucca nibe",43.2,43.2,0.25,NA,NA,NA,NA,20,NA
1181,"Bairdiella chrysoura",16.3,NA,3.055,NA,NA,NA,NA,26.5,NA
3776,"Cheilotrema saturnum",47,47,0.183,NA,NA,NA,NA,18,NA
1185,"Cynoscion acoupa",106,106,0.27,NA,NA,NA,NA,20,NA
13964,"Cynoscion albus",122,122,0.172,NA,NA,NA,NA,27,NA
417,"Cynoscion analis",61.8,61.8,0.12,NA,NA,NA,NA,18,NA
417,"Cynoscion analis",47.5,47.5,0.23,NA,NA,NA,NA,18,NA
1186,"Cynoscion arenarius",36.01,NA,0.31,NA,NA,NA,NA,NA,NA
1186,"Cynoscion arenarius",31.4,NA,0.34,NA,NA,NA,NA,NA,NA
43947,"Cynoscion guatucupa",49.7,49.7,0.281,NA,NA,NA,NA,24,NA
43947,"Cynoscion guatucupa",51.7,51.7,0.238,NA,NA,NA,NA,24,NA
43947,"Cynoscion guatucupa",54,54,0.2,NA,NA,NA,NA,24,NA
43947,"Cynoscion guatucupa",56.6,56.6,0.211,NA,NA,NA,NA,24,NA
1187,"Cynoscion jamaicensis",32.1,32.1,0.345,NA,NA,NA,NA,23,NA
1187,"Cynoscion jamaicensis",30.3,30.3,0.342,NA,NA,NA,NA,23,NA
1187,"Cynoscion jamaicensis",39,39,0.4,NA,NA,NA,NA,24,NA
1187,"Cynoscion jamaicensis",40,40,0.41,NA,NA,NA,NA,24,NA
1187,"Cynoscion jamaicensis",39,NA,0.4,NA,NA,NA,NA,NA,NA
1187,"Cynoscion jamaicensis",40,NA,0.41,NA,NA,NA,NA,NA,NA
1189,"Cynoscion leiarchus",45.4,45.4,0.35,NA,NA,NA,NA,27.5,NA
1190,"Cynoscion microlepidotus",105.43,NA,0.15,NA,NA,NA,NA,NA,NA
419,"Cynoscion nebulosus",60.4,60.4,0.223,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",70.1,70.1,0.169,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",70.6,70.6,0.174,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",79.4,79.4,0.147,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",57,57,0.222,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",60.6,60.6,0.274,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",63.8,63.8,0.19,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",55.8,55.8,0.361,NA,NA,NA,NA,25,NA
419,"Cynoscion nebulosus",85.5,85.5,0.134,NA,NA,NA,NA,26,NA
419,"Cynoscion nebulosus",77,77,0.19,NA,NA,NA,NA,NA,NA
419,"Cynoscion nebulosus",75.3,75.3,0.26,NA,NA,NA,NA,26,NA
419,"Cynoscion nebulosus",56.8,56.8,0.32,NA,NA,NA,NA,26,NA
419,"Cynoscion nebulosus",83.6,83.6,0.164,NA,NA,NA,NA,26,NA
1191,"Cynoscion nothus",44.2,44.2,0.22,NA,NA,NA,NA,26,NA
420,"Cynoscion regalis",82.3,82.3,0.26,NA,NA,NA,NA,15,NA
420,"Cynoscion regalis",82.8,82.8,0.28,NA,NA,NA,NA,15,NA
420,"Cynoscion regalis",40,40,0.055,NA,NA,NA,NA,15,NA
420,"Cynoscion regalis",68.6,68.6,0.35,NA,NA,NA,NA,15,NA
11326,"Cynoscion stolzmanni",96.7,96.7,0.318,NA,NA,NA,NA,19,NA
3778,"Cynoscion xanthulus",44.8,44.8,1.308,NA,NA,NA,NA,13.2,NA
4745,"Dendrophysa russelii",18.5,18.5,1.012,NA,NA,NA,NA,28,NA
4745,"Dendrophysa russelii",17.5,17.5,0.95,NA,NA,NA,NA,28.3,NA
14599,"Johnius borneensis",35.4,35.4,0.508,NA,NA,NA,NA,27,NA
14599,"Johnius borneensis",34.5,34.5,0.72,NA,NA,NA,NA,27,NA
14599,"Johnius borneensis",35.2,35.2,0.8,NA,NA,NA,NA,27,NA
14599,"Johnius borneensis",36.3,NA,0.68,NA,NA,NA,NA,NA,NA
4835,"Johnius carutta",33.3,33.3,0.44,NA,NA,NA,NA,27.2,NA
4835,"Johnius carutta",25.9,25.9,0.726,NA,NA,NA,NA,27.6,NA
10866,"Johnius coitor",26.5,26.5,1.05,NA,NA,NA,NA,28,NA
6851,"Johnius dussumieri",23.9,23.9,0.777,NA,NA,NA,NA,27,NA
6851,"Johnius dussumieri",26.9,26.9,0.96,NA,NA,NA,NA,27,NA
6851,"Johnius dussumieri",27.1,27.1,0.92,NA,NA,NA,NA,27,NA
6851,"Johnius dussumieri",25,NA,1.28,NA,NA,NA,NA,NA,NA
14590,"Johnius macrorhynus",33.1,33.1,0.542,NA,NA,NA,NA,27,NA
14590,"Johnius macrorhynus",34.3,34.3,0.82,NA,NA,NA,NA,27,NA
14590,"Johnius macrorhynus",35,35,0.75,NA,NA,NA,NA,27,NA
14590,"Johnius macrorhynus",34.5,NA,0.73,NA,NA,NA,NA,NA,NA
430,"Larimichthys polyactis",46,46,0.163,NA,NA,NA,NA,16,NA
430,"Larimichthys polyactis",34.8,34.8,0.37,NA,NA,NA,NA,22,NA
430,"Larimichthys polyactis",25.2,25.2,0.72,NA,NA,NA,NA,22,NA
430,"Larimichthys polyactis",29.2,29.2,0.44,NA,NA,NA,NA,22,NA
430,"Larimichthys polyactis",34.7,34.7,0.24,NA,NA,NA,NA,22,NA
1198,"Larimus fasciatus",17.8,17.8,0.98,NA,NA,NA,NA,24,NA
443,"Leiostomus xanthurus",23.9,23.9,0.89,NA,NA,NA,NA,21,NA
443,"Leiostomus xanthurus",24.1,24.1,0.725,NA,NA,NA,NA,12,NA
443,"Leiostomus xanthurus",34,34,0.43,NA,NA,NA,NA,21,NA
431,"Macrodon ancylodon",43.6,43.6,0.27,NA,NA,NA,NA,23,NA
431,"Macrodon ancylodon",33,33,0.44,NA,NA,NA,NA,23,NA
431,"Macrodon ancylodon",48.9,48.9,0.55,NA,NA,NA,NA,27,NA
431,"Macrodon ancylodon",40.9,40.9,0.95,NA,NA,NA,NA,27,NA
431,"Macrodon ancylodon",42,42,0.42,NA,NA,NA,NA,23,NA
431,"Macrodon ancylodon",50.659,NA,0.17,NA,NA,NA,NA,NA,NA
431,"Macrodon ancylodon",50.7,50.7,0.17,NA,NA,NA,NA,24,NA
57005,"Macrodon atricauda",33.4,NA,1.1,NA,NA,0.84,1.36,20,NA
57005,"Macrodon atricauda",35.5,NA,0.82,NA,NA,0.76,0.88,20,NA
57005,"Macrodon atricauda",39.1,NA,0.68,NA,NA,0.62,0.74,20,NA
57005,"Macrodon atricauda",41.1,NA,0.61,NA,NA,0.55,0.67,20,NA
423,"Menticirrhus americanus",47.7,47.7,0.274,NA,NA,NA,NA,NA,NA
423,"Menticirrhus americanus",29.2,29.2,0.637,NA,NA,NA,NA,NA,NA
423,"Menticirrhus americanus",41.9,NA,0.29,0.03,NA,NA,NA,NA,NA
423,"Menticirrhus americanus",29.1,NA,0.52,0.05,NA,NA,NA,NA,NA
424,"Menticirrhus saxatilis",44.8,44.8,0.56,NA,NA,NA,NA,15,NA
424,"Menticirrhus saxatilis",38.7,38.7,0.7,NA,NA,NA,NA,15,NA
3783,"Menticirrhus undulatus",44.4,44.4,0.385,NA,NA,NA,NA,18,NA
7924,"Micropogonias furnieri",53.7,53.7,0.279,NA,NA,NA,NA,9,NA
7924,"Micropogonias furnieri",50,50,0.335,NA,NA,NA,NA,9,NA
7924,"Micropogonias furnieri",49,49,0.194,NA,NA,NA,NA,10,NA
7924,"Micropogonias furnieri",63.3,63.3,0.12,NA,NA,NA,NA,23,NA
7924,"Micropogonias furnieri",60.1,60.1,0.219,NA,NA,NA,NA,23,NA
7924,"Micropogonias furnieri",67.6,67.6,0.18,NA,NA,NA,NA,27.5,NA
7924,"Micropogonias furnieri",69.3,69.3,0.149,NA,NA,NA,NA,23,NA
7924,"Micropogonias furnieri",82.9,82.9,0.13,NA,NA,NA,NA,27.2,NA
7924,"Micropogonias furnieri",65.3,65.3,0.16,NA,NA,NA,NA,27.2,NA
7924,"Micropogonias furnieri",68.6,68.6,0.18,NA,NA,NA,NA,27.5,NA
7924,"Micropogonias furnieri",82.9,82.9,0.106,NA,NA,NA,NA,23,NA
7924,"Micropogonias furnieri",89.6,89.6,0.076,NA,NA,NA,NA,23,NA
7924,"Micropogonias furnieri",31,31,0.4,NA,NA,NA,NA,27.2,NA
7924,"Micropogonias furnieri",96.16,NA,0.08,NA,NA,NA,NA,NA,NA
7924,"Micropogonias furnieri",96.2,96.2,0.08,NA,NA,NA,NA,24,NA
7924,"Micropogonias furnieri",54.67,NA,0.12,NA,NA,NA,NA,NA,NA
7924,"Micropogonias furnieri",57.5,57.5,0.277,NA,NA,NA,NA,24,NA
7924,"Micropogonias furnieri",65.82,NA,0.255,NA,NA,NA,NA,NA,NA
7924,"Micropogonias furnieri",83,NA,0.13,NA,NA,NA,NA,NA,NA
7924,"Micropogonias furnieri",65,NA,0.18,NA,NA,NA,NA,NA,NA
7924,"Micropogonias furnieri",30.2,NA,0.19,0.008,NA,NA,NA,NA,NA
422,"Micropogonias undulatus",18.2,18.2,1.452,NA,NA,NA,NA,25,NA
422,"Micropogonias undulatus",39,39,0.35,NA,NA,NA,NA,26,NA
422,"Micropogonias undulatus",41.9,41.9,0.27,NA,NA,NA,NA,25,NA
422,"Micropogonias undulatus",64.5,64.5,0.2,NA,NA,NA,NA,24,NA
422,"Micropogonias undulatus",31,NA,0.36,NA,NA,NA,NA,NA,NA
4754,"Miichthys miiuy",80.6,80.6,0.32,NA,NA,NA,NA,20,NA
4754,"Miichthys miiuy",71,NA,0.32,NA,NA,NA,NA,NA,NA
13334,"Nibea albiflora",52.9,NA,0.262,NA,NA,NA,NA,22,NA
13334,"Nibea albiflora",36,NA,0.25,NA,NA,NA,NA,NA,NA
13334,"Nibea albiflora",31,NA,0.34,NA,NA,NA,NA,NA,NA
11327,"Nibea maculata",28.4,28.4,1.08,NA,NA,NA,NA,28.4,NA
13752,"Otolithes cuvieri",39.5,39.5,0.533,NA,NA,NA,NA,27,NA
13752,"Otolithes cuvieri",39.8,39.8,0.52,NA,NA,NA,NA,27,NA
13752,"Otolithes cuvieri",40.7,40.7,0.59,NA,NA,NA,NA,27,NA
13752,"Otolithes cuvieri",40.3,NA,0.61,NA,NA,NA,NA,NA,NA
5053,"Otolithes ruber",29.5,29.5,0.455,NA,NA,NA,NA,28.3,NA
5053,"Otolithes ruber",35.5,35.5,0.43,NA,NA,NA,NA,28.3,NA
5053,"Otolithes ruber",69.6,69.6,0.505,NA,NA,NA,NA,22.8,NA
5053,"Otolithes ruber",42.9,42.9,0.144,NA,NA,NA,NA,25,NA
5053,"Otolithes ruber",45.9,45.9,0.32,NA,NA,NA,NA,25,5
5053,"Otolithes ruber",59,59,0.39,NA,NA,NA,NA,26,NA
4755,"Otolithoides biauritus",160,160,0.212,NA,NA,NA,NA,27,NA
4755,"Otolithoides biauritus",206,206,0.14,NA,NA,NA,NA,21.5,NA
4755,"Otolithoides biauritus",17.7,NA,0.45,NA,NA,NA,NA,NA,NA
13748,"Pennahia anea",20,20,0.6,NA,NA,NA,NA,28.3,NA
13748,"Pennahia anea",26.5,26.5,1.4,NA,NA,NA,NA,28.2,NA
13748,"Pennahia anea",34.8,34.8,0.53,NA,NA,NA,NA,29,NA
13748,"Pennahia anea",23.3,23.3,1.26,NA,NA,NA,NA,28.4,NA
13748,"Pennahia anea",24.5,24.5,0.64,NA,NA,NA,NA,27,NA
13748,"Pennahia anea",27.3,27.3,1.94,NA,NA,NA,NA,27,NA
13748,"Pennahia anea",30,30,1.3,NA,NA,NA,NA,27.9,NA
13748,"Pennahia anea",29,29,0.8,NA,NA,NA,NA,28,NA
13748,"Pennahia anea",36,NA,0.53,NA,NA,NA,NA,28,NA
448,"Pennahia argentata",35.3,35.3,0.76,NA,NA,NA,NA,22,NA
448,"Pennahia argentata",34,NA,0.58,NA,NA,NA,NA,NA,NA
4505,"Plagioscion squamosissimus",36.3,36.3,1.04,NA,NA,NA,NA,26,NA
4505,"Plagioscion squamosissimus",112,112,0.076,NA,NA,NA,NA,NA,NA
4505,"Plagioscion squamosissimus",91.9,91.9,0.11,NA,NA,NA,NA,NA,NA
4505,"Plagioscion squamosissimus",68.4,68.4,0.22,NA,NA,NA,NA,22.1,NA
4505,"Plagioscion squamosissimus",44.2,44.2,0.3,NA,NA,NA,NA,22.1,NA
4505,"Plagioscion squamosissimus",69.3,NA,0.128,NA,NA,NA,NA,NA,NA
439,"Pogonias cromis",105,105,0.17,NA,NA,NA,NA,26,NA
439,"Pogonias cromis",110,110,0.038,NA,NA,NA,NA,26,NA
439,"Pogonias cromis",84.4,84.4,0.175,NA,NA,NA,NA,26,NA
439,"Pogonias cromis",79.8,79.8,0.219,NA,NA,NA,NA,21,21
439,"Pogonias cromis",117,NA,0.105,NA,NA,NA,NA,NA,NA
4756,"Protonibea diacanthus",122,122,0.294,NA,NA,NA,NA,27,NA
4756,"Protonibea diacanthus",122,122,0.315,NA,NA,NA,NA,27,NA
4756,"Protonibea diacanthus",114,114,0.39,NA,NA,NA,NA,27,NA
447,"Pseudotolithus elongatus",46.7,46.7,0.274,NA,NA,NA,NA,16,NA
447,"Pseudotolithus elongatus",52,52,0.366,NA,NA,NA,NA,16,3
447,"Pseudotolithus elongatus",45.6,45.6,0.4,NA,NA,NA,NA,16,NA
447,"Pseudotolithus elongatus",45.6,45.6,0.42,NA,NA,NA,NA,16,NA
447,"Pseudotolithus elongatus",55.5,55.5,0.3,NA,NA,NA,NA,16,NA
447,"Pseudotolithus elongatus",48,48,0.28,NA,NA,NA,NA,16,NA
447,"Pseudotolithus elongatus",60,60,0.38,NA,NA,NA,NA,16,NA
446,"Pseudotolithus senegalensis",50.7,50.7,0.607,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",42.6,42.6,0.947,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",81,81,0.33,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",54,54,0.44,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",47.8,47.8,0.71,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",52.7,52.7,0.35,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",55.5,55.5,0.3,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",60.3,60.3,0.26,NA,NA,NA,NA,26.6,NA
446,"Pseudotolithus senegalensis",51.4,NA,0.16,NA,NA,NA,NA,27.7,NA
446,"Pseudotolithus senegalensis",56.2,NA,0.24,NA,NA,NA,NA,27.7,NA
4735,"Pseudotolithus typus",61.3,61.3,0.42,NA,NA,NA,NA,26.6,NA
4735,"Pseudotolithus typus",105,105,0.217,NA,NA,NA,NA,26.6,NA
4735,"Pseudotolithus typus",103,103,0.29,NA,NA,NA,NA,26.6,NA
4735,"Pseudotolithus typus",77.4,77.4,0.255,NA,NA,NA,NA,26,NA
4735,"Pseudotolithus typus",61.1,61.1,0.346,NA,NA,NA,NA,26,NA
4735,"Pseudotolithus typus",83,83,0.25,NA,NA,NA,NA,26.6,NA
4735,"Pseudotolithus typus",61.2,61.2,0.37,NA,NA,NA,NA,26.6,NA
4735,"Pseudotolithus typus",56.2,NA,0.15,NA,NA,NA,NA,27.9,NA
4735,"Pseudotolithus typus",56.2,NA,0.19,NA,NA,NA,NA,27.9,NA
3784,"Roncador stearnsii",47.6,47.6,0.287,NA,NA,NA,NA,14,NA
1903,"Sciaena umbra",53.9,53.9,0.19,NA,NA,NA,NA,16,NA
1903,"Sciaena umbra",46.7,46.7,0.224,NA,NA,NA,NA,16,NA
1903,"Sciaena umbra",58.2,69.5,0.113,NA,NA,NA,NA,NA,NA
1903,"Sciaena umbra",38.6,46.1,0.207,NA,NA,NA,NA,NA,NA
1207,"Sciaenops ocellatus",90,90,0.416,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",105,105,0.3,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",87.9,87.9,0.464,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",90,90,0.423,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",94,94,0.504,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",95.7,95.7,0.274,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",97.8,97.8,0.409,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",118,118,0.274,NA,NA,NA,NA,21.5,NA
1207,"Sciaenops ocellatus",93.4,99.3,0.49,NA,NA,NA,NA,26,NA
1207,"Sciaenops ocellatus",98,104,0.418,NA,NA,NA,NA,23,NA
1207,"Sciaenops ocellatus",91.8,91.8,0.422,NA,NA,NA,NA,21,21
1207,"Sciaenops ocellatus",94.5,94.5,0.449,NA,NA,NA,NA,26,NA
1207,"Sciaenops ocellatus",95,95,0.37,NA,NA,NA,NA,26,NA
1207,"Sciaenops ocellatus",98,NA,0.42,NA,NA,NA,NA,NA,NA
6630,"Totoaba macdonaldi",208,208,0.255,NA,NA,NA,NA,22,NA
6630,"Totoaba macdonaldi",128,128,0.3,NA,NA,NA,NA,27,NA
4733,"Umbrina canariensis",57.2,57.2,0.259,NA,NA,NA,NA,14,NA
427,"Umbrina canosai",36,36,0.268,NA,NA,NA,NA,27.5,NA
427,"Umbrina canosai",37,37,0.262,NA,NA,NA,NA,27.5,NA
427,"Umbrina canosai",35.65,NA,0.316,NA,NA,NA,NA,NA,NA
427,"Umbrina canosai",39.04,NA,0.412,NA,NA,NA,NA,NA,NA
1324,"Umbrina cirrosa",30,30,1.452,NA,NA,NA,NA,19,NA
1324,"Umbrina cirrosa",86.5,86.5,0.279,NA,NA,NA,NA,19,NA
1324,"Umbrina cirrosa",106.6,106.6,0.16,NA,NA,NA,NA,NA,NA
4732,"Umbrina ronchus",77.1,77.1,0.393,NA,NA,NA,NA,19,NA
317,"Cololabis saira",30.4,30.4,0.595,NA,NA,NA,NA,18,NA
317,"Cololabis saira",44.4,44.4,0.55,NA,NA,NA,NA,4,NA
317,"Cololabis saira",36.7,36.7,0.38,NA,NA,NA,NA,NA,NA
317,"Cololabis saira",34.2,37.6,0.41,NA,NA,NA,NA,15,4
1100,"Scomberesox saurus",34.5,36.4447,0.71,NA,NA,NA,NA,NA,NA
104,"Acanthocybium solandri",158,158,0.34,NA,NA,NA,NA,27,NA
104,"Acanthocybium solandri",170,NA,0.381,NA,NA,0.257,0.505,NA,NA
104,"Acanthocybium solandri",149,NA,0.34,NA,NA,NA,NA,NA,NA
104,"Acanthocybium solandri",215,NA,0.152,NA,NA,NA,NA,NA,NA
104,"Acanthocybium solandri",157,NA,0.245,NA,NA,NA,NA,NA,NA
104,"Acanthocybium solandri",159,NA,0.34,NA,NA,NA,NA,NA,NA
107,"Auxis rochei",41.5,41.5,0.32,NA,NA,NA,NA,22,NA
107,"Auxis rochei",45.3,47.18436,0.397,NA,NA,NA,NA,19,NA
107,"Auxis rochei",45.1,46.97604,0.339,NA,NA,NA,NA,19,NA
107,"Auxis rochei",73.2,76.3,0.447,NA,NA,NA,NA,NA,NA
108,"Auxis thazard",61.6,61.6,0.83,NA,NA,NA,NA,12.5,NA
